Laptop Model,Processor Type,Generation,RAM,Storage,Graphics,Display Size(Inch),Price
MSI Modern 15 B13M Intel Core i5 1335U 16GB R ...,Core i5,13th (Intel),16GB,512GB SSD,Shared,15.6,"Tk 91,900"
MSI Modern 14 C13M 13th Gen Intel Core i5 133 ...,Core i5,13th (Intel),16GB,512GB SSD,Shared,14,"Tk 90,900"
Acer Aspire 5 5M-A515-58GM Intel Core i5 1335 ...,Core i5,13th (Intel),16GB,512GB SSD,4GB,15.6,"Tk 97,800"
Acer Aspire 3 A315-24P AMD Ryzen 3 7320U 8GB ...,Ryzen 3,Not Applicable,8GB,512GB SSD,Shared,15.6,"Tk 53,000"
Chuwi MiniBook X 2 in 1 Intel Core N100 12GB ...,Core N100,12th Standard (Intel),12GB,512GB SSD,Shared,10.5,"Tk 47,900"
Chuwi HeroBook Pro Intel CDC N4020 8GB RAM 25 ...,Intel Celeron,Not Applicable,8GB,256GB SSD,Shared,14,"Tk 28,800"
Chuwi GemiBook XPro Intel Core N100 8GB RAM 2 ...,Core N100,12th Standard (Intel),8GB,256GB SSD,Shared,14,"Tk 34,900"
Chuwi GemiBook Plus Intel Core N100 8GB RAM 2 ...,Core N100,12th Standard (Intel),8GB,256GB SSD,Shared,15.6,"Tk 35,900"
Chuwi CoreBook XPro Intel Core i3 1215U 16GB ...,Core i3,12th (Intel),16GB,512GB SSD,Shared,15.6,"Tk 59,900"
Acer Nitro 5 AN515-58-59JP Intel Core i5 1245 ...,Core i5,12th (Intel),8GB,512GB SSD,4GB,15.6,"Tk 117,000"
Acer Predator Helios Neo 16 PHN16-71-757P Int ...,Core i7,13th (Intel),16GB,1TB SSD,6GB,16,"Tk 176,500"
Acer Aspire 3 A315-59-56VC Intel Core i5 1235 ...,Core i5,12th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 69,800"
Acer Swift Go 14 SFG14-41-R5RB AMD Ryzen 5 75 ...,Ryzen 5,Not Applicable,8GB,512GB SSD,Shared,14,"Tk 75,800"
Acer Swift Go 14 SFG14-41-R732 AMD Ryzen 5 75 ...,Ryzen 5,Not Applicable,8GB,512GB SSD,Shared,14,"Tk 75,800"
Acer Predator Helios Neo 16 PHN16-71-59XW Int ...,Core i5,13th (Intel),16GB,512GB SSD,6GB,16,"Tk 156,000"
